channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.9676175947195479,0.5642032055405273,0.03760823643692437,0.625,0.8378093160136791,5.163437969389714,0.06608631696395002,0.5231430122323332,0.5096318776592098,Traffic,raw,0,168,raw:0:0,high,high
14,0.628813698656567,0.48190506580335246,0.01678469915680385,0.375,0.7867324563067418,5.163437969389714,0.06608631696395002,0.3758344878722411,0.409272924423564,Traffic,raw,0,168,raw:0:14,high,high
27,0.3578392668388909,0.1699036657484505,0.7540266507556609,0.5,0.8110419407133909,5.163437969389714,0.06608631696395002,0.42725652778100076,0.45904275255911364,Traffic,raw,0,168,raw:0:27,high,high
41,0.8029877346987891,0.14851038942635086,0.9418073329032771,0.625,0.7591756052619073,5.163437969389714,0.06608631696395002,0.6311018190094724,0.4834206407419524,Traffic,raw,0,168,raw:0:41,high,high
55,0.4719382745887697,0.19527204454079466,0.3891747059746015,0.375,0.687556801791621,5.163437969389714,0.06608631696395002,0.3521283417013887,0.37621437291852367,Traffic,raw,0,168,raw:0:55,high,mid
68,0.3764958123654385,0.08056499104996695,0.08834744692438942,0.25,0.41732395634955255,5.163437969389714,0.06608631696395002,0.18180275011326497,0.24447009110450088,Traffic,raw,0,168,raw:0:68,low,low
82,0.585689993121638,0.4706799583250206,0.052070965148820994,0.375,0.7913946483678371,5.163437969389714,0.06608631696395002,0.36948030553182654,0.41082698844392906,Traffic,raw,0,168,raw:0:82,high,high
96,0.7202068777557622,0.5226715297917717,0.019020124166565438,0.625,0.8471590060411436,5.163437969389714,0.06608631696395002,0.4206328439046998,0.5127484410016979,Traffic,raw,0,168,raw:0:96,high,high
109,0.6770270385762702,0.1473022302522481,0.6869956565057367,0.5,0.723495408911035,5.163437969389714,0.06608631696395002,0.5037749751114183,0.4298605752916617,Traffic,raw,0,168,raw:0:109,high,high
123,0.46247487864311243,0.5444583792333731,0.09117587062450788,0.25,0.8955764478844569,5.163437969389714,0.06608631696395002,0.3660363761669978,0.4038875882828023,Traffic,raw,0,168,raw:0:123,high,high
137,0.4682621714560974,0.2784461433698706,0.19588901795513622,0.5,0.71273596654521,5.163437969389714,0.06608631696395002,0.31419911092703473,0.42627409450305337,Traffic,raw,0,168,raw:0:137,mid,high
150,0.445251352713702,0.6616838483054868,0.101003710034066,0.625,0.9435584522186987,5.163437969389714,0.06608631696395002,0.4026463036844183,0.5448815897275496,Traffic,raw,0,168,raw:0:150,high,high
164,0.602278208920385,0.2539969490842199,0.14806738793347293,0.25,0.5664443473950903,5.163437969389714,0.06608631696395002,0.3347808486460259,0.2941768881196801,Traffic,raw,0,168,raw:0:164,mid,low
